Close1,Close2,Close3,Close4,Close5,Close6,Close7
,,,,,,0.0430086
,,,,,0.0430086,0.043339
,,,,0.0430086,0.043339,0.0432346
,,,0.0430086,0.043339,0.0432346,0.0432382
,,0.0430086,0.043339,0.0432346,0.0432382,0.0429145
,0.0430086,0.043339,0.0432346,0.0432382,0.0429145,0.0430639
0.0430086,0.043339,0.0432346,0.0432382,0.0429145,0.0430639,0.0440469
0.043339,0.0432346,0.0432382,0.0429145,0.0430639,0.0440469,0.0437837
0.0432346,0.0432382,0.0429145,0.0430639,0.0440469,0.0437837,0.0432198
0.0432382,0.0429145,0.0430639,0.0440469,0.0437837,0.0432198,0.0422502
0.0429145,0.0430639,0.0440469,0.0437837,0.0432198,0.0422502,0.0422102
0.0430639,0.0440469,0.0437837,0.0432198,0.0422502,0.0422102,0.0418342
0.0440469,0.0437837,0.0432198,0.0422502,0.0422102,0.0418342,0.0419361
0.0437837,0.0432198,0.0422502,0.0422102,0.0418342,0.0419361,0.0412481
0.0432198,0.0422502,0.0422102,0.0418342,0.0419361,0.0412481,0.0415428
0.0422502,0.0422102,0.0418342,0.0419361,0.0412481,0.0415428,0.0418629
0.0422102,0.0418342,0.0419361,0.0412481,0.0415428,0.0418629,0.0425113
0.0418342,0.0419361,0.0412481,0.0415428,0.0418629,0.0425113,0.0422637
0.0419361,0.0412481,0.0415428,0.0418629,0.0425113,0.0422637,0.0418981
0.0412481,0.0415428,0.0418629,0.0425113,0.0422637,0.0418981,0.0418148
0.0415428,0.0418629,0.0425113,0.0422637,0.0418981,0.0418148,0.0421758
0.0418629,0.0425113,0.0422637,0.0418981,0.0418148,0.0421758,0.0424489
0.0425113,0.0422637,0.0418981,0.0418148,0.0421758,0.0424489,0.0430576
0.0422637,0.0418981,0.0418148,0.0421758,0.0424489,0.0430576,0.0434732
0.0418981,0.0418148,0.0421758,0.0424489,0.0430576,0.0434732,0.0446537
0.0418148,0.0421758,0.0424489,0.0430576,0.0434732,0.0446537,0.0454802
0.0421758,0.0424489,0.0430576,0.0434732,0.0446537,0.0454802,0.0452301
0.0424489,0.0430576,0.0434732,0.0446537,0.0454802,0.0452301,0.0444706
0.0430576,0.0434732,0.0446537,0.0454802,0.0452301,0.0444706,0.0439754
0.0434732,0.0446537,0.0454802,0.0452301,0.0444706,0.0439754,0.044813
